Rank,TC Number,Railway Company,Region,Province,Access,Jurisdiction,Mile,Subdivision,Spur Mile Point,Spur Name,Location,Latitude,Longitude,Road  Authority,Protection,Accidents,Fatality,Injury,Trains Daily,Vehicles Daily,Train Max Speed (mph),Road Speed (km/h),Lanes,Tracks,IsUrban
3174,300756,Canadian National Railway,ONT,ON,Public,F,262.3,Bala - CN,5.44,Sudbury,Melvin Ave.,46.5029,-80.9981,Greater Sudbury (ON),Active - FLB,0,0,0,6,3000,10,50,2,1,Y
3228,30168,Canadian Pacific Railway,ONT,ON,Public,F,79.17,Cartier - CP,2.8,Webbwood,Kelly Lake Road,46.47023,-81.03798,Greater Sudbury (ON),Active - FLB,0,0,0,2,4000,10,50,2,1,Y
3372,30164,Canadian Pacific Railway,ONT,ON,Public,F,79.17,Cartier - CP,0.63,Webbwood,Douglas Street,46.4858,-81.0051,Greater Sudbury (ON),Active - FLBG,0,0,0,2,12000,10,50,4,1,Y
3550,30179,Huron Central Railway,ONT,ON,Public,P,21.2,Webbwood - HCRC,-,-,Reg Rd 4 (Walden),46.3882,-81.3734,Greater Sudbury (ON),Active - FLB,0,0,0,6,500,40,80,2,1,N
3574,30165,Canadian Pacific Railway,ONT,ON,Public,F,79.17,Cartier - CP,0.89,Webbwood,Regent Street,46.4824,-81.0074,Greater Sudbury (ON),Active - FLBG,0,0,0,2,10000,10,50,2,1,N
3747,849,Canadian National Railway,ONT,ON,Public,F,257.17,Bala - CN,-,-,Government Rd (Nickel Cen,46.4905,-80.8386,Greater Sudbury (ON),Active - FLB,0,0,0,21.86,450,50,50,2,1,N
3784,13807,Canadian National Railway,ONT,ON,Public,F,8.31,Ruel,-,-,Moose Mountain Mine Rd (Reg Rd 84),46.8168,-80.9592,Greater Sudbury (ON),Active - FLB,0,0,0,20.86,250,45,60,2,1,N
3850,20572,Canadian Pacific Railway,ONT,ON,Public,F,102.37,Cartier - CP,-,-,Gorham'S Landing Road (Marina Rd),46.6012,-81.4052,Greater Sudbury (ON),Active - FLBG,1,0,0,9,300,50,50,2,1,N
3864,20560,Canadian Pacific Railway,ONT,ON,Public,F,86.91,Cartier - CP,-,-,Marier Street,46.5553,-81.1145,Greater Sudbury (ON),Active - FLBG,0,0,0,9,1008,75,50,2,1,N
3883,20561,Canadian Pacific Railway,ONT,ON,Public,F,87.91,Cartier - CP,-,-,Montee Principale,46.5623,-81.133,Greater Sudbury (ON),Active - FLBG,0,0,0,9,1000,75,80,2,1,N
4076,46961,Canadian Pacific Railway,ONT,ON,Public,F,117.2,Parry Sound,-,-,Snowmobile Crossing,46.4386,-80.8445,Greater Sudbury (ON),Other,0,0,0,14,25,45,80,2,1,N
4224,300753,Canadian National Railway,ONT,ON,Public,F,262.3,Bala - CN,0.88,Sudbury,Elisabella St.,46.5209,-80.9095,Greater Sudbury (ON),Active - FLB,0,0,0,6,2300,10,50,2,1,N
4698,20539,Canadian Pacific Railway,ONT,ON,Public,F,74.31,Cartier - CP,-,-,Moonlight Beach Road,46.4809,-80.9044,Greater Sudbury (ON),Active - FLBG,0,0,0,10,500,45,80,2,2,N
4853,20565,Canadian Pacific Railway,ONT,ON,Public,F,91.64,Cartier - CP,-,-,Montpellier Road,46.5865,-81.2026,Greater Sudbury (ON),Active - FLBG,0,0,0,9,500,55,80,2,1,N
4854,20563,Canadian Pacific Railway,ONT,ON,Public,F,90.94,Cartier - CP,-,-,Main Street (Road 14),46.5832,-81.1888,Greater Sudbury (ON),Active - FLBG,0,0,0,9,500,75,50,2,1,N
4989,30178,Huron Central Railway,ONT,ON,Public,P,18.32,Webbwood - HCRC,-,-,Bay St.,46.3791,-81.317,Greater Sudbury (ON),Active - FLB,0,0,0,6,500,40,50,2,2,N
5041,20540,Canadian Pacific Railway,ONT,ON,Public,F,75.47,Cartier - CP,-,-,4Th Avenue,46.4849,-80.9262,Greater Sudbury (ON),Active - FLBG,0,0,0,10,400,45,50,2,2,Y
5151,34586,Canadian Pacific Railway,ONT,ON,Public,F,96.88,Cartier - CP,-,-,Gordon Lake Road,46.5727,-81.3098,Greater Sudbury (ON),Active - FLB,0,0,0,9,700,65,80,2,1,N
5346,26785,Canadian Pacific Railway,ONT,ON,Public,F,113.85,Parry Sound,-,-,Axeli Road (Lot 12 Conc 3),46.39992,-80.81316,Greater Sudbury (ON),Passive,1,0,0,10,50,45,50,2,1,N
5361,15232,Canadian National Railway,ONT,ON,Public,F,262.3,Bala - CN,6.36,Sudbury,Ethelbert St.,46.4967,-81.0141,Greater Sudbury (ON),Active - FLB,0,0,0,6,1000,10,50,2,1,N
5416,15229,Canadian National Railway,ONT,ON,Public,F,262.3,Bala - CN,5.69,Sudbury,Kathleen St.,46.5003,-81.0016,Greater Sudbury (ON),Active - FLB,0,0,0,6,1000,10,50,2,1,N
5417,15217,Canadian National Railway,ONT,ON,Public,F,262.3,Bala - CN,2.98,Sudbury,Attlee Ave.,46.5168,-80.9529,Greater Sudbury (ON),Active - FLB,0,0,0,6,1000,10,50,2,1,N
5721,20566,Canadian Pacific Railway,ONT,ON,Public,F,92.57,Cartier - CP,-,-,McKenzie Road,46.5836,-81.2208,Greater Sudbury (ON),Active - FLBG,0,0,0,9,300,65,50,2,1,N
5722,20574,Canadian Pacific Railway,ONT,ON,Public,F,103.89,Cartier - CP,-,-,Elks Club Road,46.61452,-81.42875,Greater Sudbury (ON),Active - FLBG,0,0,0,9,300,45,80,2,2,N
5882,30184,Huron Central Railway,ONT,ON,Public,P,29.48,Webbwood - HCRC,-,-,Regional Rd 3 Or 5?,46.3617,-81.5283,Greater Sudbury (ON),Active - FLB,0,0,0,6,100,40,80,2,1,N
6199,30176,Huron Central Railway,ONT,ON,Public,P,10.51,Webbwood - HCRC,-,-,Carl Rd.,46.4086,-81.1671,Greater Sudbury (ON),Passive,0,0,0,4,50,40,80,2,1,N
6211,15210,Canadian National Railway,ONT,ON,Public,F,262.3,Bala - CN,0.7,Sudbury,Foundry Rd,46.5208,-80.90575,Greater Sudbury (ON),Active - FLB,0,0,0,6,400,10,50,2,1,N
6284,858,GO Transit ,ONT,ON,Public,P,269.94,Bala - GO,0.27,Hydro Electric,Hydro Rd (Valley East),46.625,-80.9242,Greater Sudbury (ON),Passive,0,0,0,10,100,15,80,2,1,N
